ROC2.HOR1;ASR9K;6.6.3;Cisco
ROC2.AVA1;ASR9K;6.6.3;Cisco
ROC2.BEL1;ASR9K;6.6.3;Cisco
BEL1NA;ASR9K;6.6.3;Cisco
ROC2.SLO1;ASR9K;6.0.2;Cisco
CDI4MU;ASR9K;6.2.3;Cisco
BUA1NA;ASR9K;6.1.4;Cisco
MUN1NA;ASR9K;6.1.4;Cisco
ROE1.HOR1;;5.3.4;Cisco
ROE1.SLO1;;5.3.4;Cisco
BEL6MU;ASR9K;6.2.3;Cisco
VLU3MU;ASR9K;6.2.3;Cisco
CTE1NA;ASR9K;6.6.3;Cisco
RES1NA;ASR9K;6.6.3;Cisco
ROA1.MRO1;ASR9K;6.0.2;Cisco
ROA1.LIN1;ASR9K;6.0.2;Cisco
RSC1NA;ASR9K;6.1.4;Cisco
COE1NA;ASR9K;6.1.4;Cisco
MUS1NA;ASR9K;6.6.3;Cisco
ROA1.PRN1;ASR9K;6.0.2;Cisco
ROS6.SLO1;ASR9K;6.2.3;Cisco
ROA1.CNS1;ASR9K;6.0.2;Cisco
ROA1.POS1;ASR9K;6.0.2;Cisco
ROA1.CBS1;ASR9K;6.0.2;Cisco
ROA1.LAN1;ASR9K;6.0.2;Cisco
ROA1.PLS1;ASR9K;6.0.2;Cisco
ROA1.CAL1;ASR9K;6.0.2;Cisco
ROA1.CBE1;ASR9K;6.0.2;Cisco
ROA1.CBN1;ASR9K;6.0.2;Cisco
ROA1.AVE1;ASR9K;6.0.2;Cisco
ROA1.RAF1;ASR9K;6.0.2;Cisco
ROA1.CPA1;ASR9K;6.0.2;Cisco
ROA1.CBT1;ASR9K;6.0.2;Cisco
ROA1.VAD1;ASR9K;6.0.2;Cisco
ROA1.JUN1;ASR9K;6.0.2;Cisco
ROS6.HOR1;ASR9K;6.2.3;Cisco
ROS7.SLO1;ASR9K;6.2.3;Cisco
ROS7.HOR1;ASR9K;6.2.3;Cisco
ROA1.MJU1;ASR9K;6.0.2;Cisco
ROA1.SUA1;ASR9K;6.0.2;Cisco
ROA1.DOL1;ASR9K;6.0.2;Cisco
ROA1.PIN1;ASR9K;6.0.2;Cisco
ROA1.TUE1;ASR9K;6.2.3;Cisco
ROA1.FIR1;ASR9K;6.2.3;Cisco
ROA1.CSA1;ASR9K;6.2.3;Cisco
ROA1.SPE1;ASR9K;6.2.3;Cisco
ROA1.VCO1;ASR9K;6.2.3;Cisco
ROA1.SRO1;ASR9K;6.2.3;Cisco
ROA1.CGO1;ASR9K;6.0.2;Cisco
ROA1.BRA1;ASR9K;6.2.3;Cisco
ROA1.MCD1;ASR9K;6.2.3;Cisco
ROA1.PUA1;ASR9K;6.0.2;Cisco
ROA1.ROJ1;ASR9K;6.0.2;Cisco
ROA1.LBS1;ASR9K;6.0.2;Cisco
ROA1.CHI1;ASR9K;6.0.2;Cisco
ROA1.SAO1;ASR9K;6.0.2;Cisco
ROA1.TAY1;ASR9K;6.0.2;Cisco
ROA1.NEC1;ASR9K;6.0.2;Cisco
ROA1.VBO2;ASR9K;6.2.3;Cisco
IRD1NA;ASR9K;6.6.3;Cisco
CEN1NA;ASR9K;6.6.3;Cisco
TRC3MU;ASR9K;6.2.3;Cisco
BGN5MU;ASR9K;6.2.3;Cisco
GYU4MU;ASR9K;6.2.3;Cisco
JLS4MU;ASR9K;6.2.3;Cisco
TRJ3MU;ASR9K;6.2.3;Cisco
cli1mb;ASR9K;6.1.4;Cisco
esh1mb;ASR9K;6.1.4;Cisco
lop1mb;ASR9K;6.1.4;Cisco
cas1mb;ASR9K;6.1.4;Cisco
bal1mb;ASR9K;6.1.4;Cisco
ret1mb;ASR9K;6.1.4;Cisco
zab1mb;ASR9K;6.2.3;Cisco
bgn1mb;ASR9K;6.1.4;Cisco
cen1mb;ASR9K;6.1.4;Cisco
coe1mb;ASR9K;6.1.4;Cisco
sde1mb;ASR9K;6.1.4;Cisco
lri1mb;ASR9K;6.2.3;Cisco
ccp1mb;ASR9K;6.1.4;Cisco
ctm1mb;ASR9K;6.2.3;Cisco
rsc1mb;ASR9K;6.1.4;Cisco
ird1mb;ASR9K;6.1.4;Cisco
sfe1mb;ASR9K;6.1.4;Cisco
hip1mb;ASR9K;6.1.4;Cisco
res1mb;ASR9K;6.1.4;Cisco
cte1mb;ASR9K;6.1.4;Cisco
pos1mb;ASR9K;6.1.4;Cisco
for1mb;ASR9K;6.1.4;Cisco
yer2mu;ASR9K;6.2.3;Cisco
tvj2mu;ASR9K;6.2.3;Cisco
sfs4mu;ASR9K;6.2.3;Cisco
vmi4mu;ASR9K;6.2.3;Cisco
mus1mb;ASR9K;6.1.4;Cisco
bua1mb;ASR9K;6.1.4;Cisco
bel1mb;ASR9K;6.2.3;Cisco
mun1mb;ASR9K;6.1.4;Cisco
rsc2mb;ASR9K;6.1.4;Cisco
ird2mb;ASR9K;6.1.4;Cisco
coe2mb;ASR9K;6.1.4;Cisco
cen2mb;ASR9K;6.1.4;Cisco
